id,timestamp,vehicle_id,latitude,longitude,altitude,speed,rpm,engine_temp,throttle_pos,engine_load,fuel_level,fl_pressure,fl_temp,fl_battery,fr_pressure,fr_temp,fr_battery,rl_pressure,rl_temp,rl_battery,rr_pressure,rr_temp,rr_battery
44,2025-11-07 04:15:27+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972864,107.6471638,698.3,0,699,84,15.68627,29.80392,,,,,,,,,,,,,
45,2025-11-07 04:15:36+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972861333,107.6471588,698.9,0,698,84,15.29412,29.80392,,,,,,,,,,,,,
46,2025-11-07 04:15:41+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972859167,107.6471562,699,0,711,85,15.29412,29.01961,,,,,,,,,,,,,
47,2025-11-07 04:15:46+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972858,107.6471558,699.4,0,709,85,15.68627,29.01961,,,,,,,,,,,,,
48,2025-11-07 04:15:51+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972857833,107.6471568,699.6,0,711,85,15.68627,28.62745,,,,,,,,,,,,,
49,2025-11-07 04:15:56+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972856333,107.647161,700.4,0,718,85,15.68627,28.62745,,,,,,,,,,,,,
50,2025-11-07 04:16:01+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9728555,107.6471628,700.8,0,697,85,15.68627,29.01961,,,,,,,,,,,,,
51,2025-11-07 04:16:06+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972854833,107.6471632,701,0,701,85,15.68627,29.01961,,,,,,,,,,,,,
52,2025-11-07 04:16:11+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972855333,107.6471642,700.8,0,694,85,15.68627,29.41176,,,,,,,,,,,,,
53,2025-11-07 04:16:16+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972855167,107.647164,700.1,0,699,86,15.68627,29.41176,,,,,,,,25.96084,31,113,,,
54,2025-11-07 04:16:21+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972855167,107.6471633,699.6,0,710,86,15.29412,29.41176,,,,,,,,25.96084,31,113,,,
55,2025-11-07 04:16:26+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972854833,107.6471622,699.4,0,701,86,15.68627,29.80392,,,,,,,,25.96084,31,113,,,
56,2025-11-07 04:16:31+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972853667,107.6471613,699.4,0,697,86,15.68627,29.80392,,,,,,,,25.96084,31,113,,,
57,2025-11-07 04:16:36+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9728525,107.6471605,699.1,0,700,86,15.68627,29.80392,,,,,,,,25.96084,31,113,,,
58,2025-11-07 04:16:41+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972851167,107.6471608,697.9,0,705,86,15.29412,29.41176,,,,,,,,25.96084,31,113,,,
59,2025-11-07 04:16:46+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972849667,107.6471622,697.3,0,713,87,15.29412,29.41176,,26.97607,37,105,,,,25.96084,31,113,,,
60,2025-11-07 04:16:51+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972848333,107.647163,697.5,0,692,87,15.68627,29.80392,,26.97607,37,105,,,,25.96084,31,113,,,
61,2025-11-07 04:16:56+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972848833,107.6471615,697.3,0,705,87,15.29412,28.62745,,26.97607,37,105,,,,25.96084,31,113,,,
62,2025-11-07 04:17:01+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.97285,107.6471603,697.1,0,697,87,15.68627,29.80392,,26.97607,37,105,,,,25.96084,32,113,,,
63,2025-11-07 04:17:06+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972850667,107.6471582,696.8,0,696,87,15.68627,29.41176,,26.97607,37,105,,,,25.96084,32,113,,,
64,2025-11-07 04:17:11+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972851167,107.6471562,696.4,0,703,87,15.68627,29.41176,,26.97607,37,105,,,,25.96084,32,113,,,
65,2025-11-07 04:17:16+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972852167,107.6471545,696.2,0,712,87,15.68627,28.62745,,26.97607,37,105,,,,25.96084,32,113,,,
66,2025-11-07 04:17:21+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972856833,107.6471525,696.5,0,691,88,15.68627,29.01961,,26.97607,37,105,,,,25.96084,32,113,,,
