timestamp,latitude,longitude,altitude,speed,engine_load,fl_pressure,fl_temp,fr_pressure,fr_temp,rl_pressure,rl_temp,rr_pressure,rr_temp,distance_traveled_m,sum_distance_traveled_m,elevation_traveled_m,tr_fl,tr_fr,tr_rl,tr_rr
2025-11-14 05:33:57+00,-6.908889667,107.6577782,717.2,3,60.0,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,34.0,1.5482004901891293,1.5482004901891293,0.10000000000002274,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:34:02+00,-6.908884667,107.657801,717.5,1,81.56863,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,34.0,2.577515335357077,4.125715825546207,0.2999999999999545,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:34:07+00,-6.908887,107.6578203,718.2,1,62.35294,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,34.0,2.14621773258779,6.2719335581339966,0.7000000000000455,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:34:12+00,-6.908886833,107.6578295,719.1,1,59.60784,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,34.0,1.0157362221479471,7.287669780281943,0.8999999999999773,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:34:17+00,-6.908890833,107.6578455,719.5,1,84.70588,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,34.0,1.821345911012367,9.10901569129431,0.39999999999997726,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:34:27+00,-6.908896167,107.6578748,718.4,1,60.78431,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,3.288291182380429,12.39730687367474,-1.1000000000000227,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:34:55+00,-6.908882167,107.6578925,708.6,1,78.43137,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,2.4981967023867004,14.89550357606144,-9.799999999999955,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:35:00+00,-6.908852,107.6578942,708.4,5,58.82353,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,3.3596670618220386,18.255170637883477,-0.20000000000004547,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:35:05+00,-6.908824667,107.6578517,708.3,6,53.33333,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,5.589925028272597,23.845095666156073,-0.10000000000002274,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:35:10+00,-6.908816333,107.6577882,703.6,5,69.01961,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,7.070608715120886,30.91570438127696,-4.699999999999932,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
