timestamp,latitude,longitude,altitude,speed,engine_load,fl_pressure,fl_temp,fr_pressure,fr_temp,rl_pressure,rl_temp,rr_pressure,rr_temp,distance_traveled_m,sum_distance_traveled_m,elevation_traveled_m,tr_fl,tr_fr,tr_rl,tr_rr
2025-11-21 07:19:11+00,-6.964042833,107.709476,698.4,10,70.98039,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,3.3733127683145843,3.3733127683145843,1.1999999999999318,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:19:16+00,-6.963969167,107.7094332,700.4,18,61.56863,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,9.455891618810687,12.829204387125271,2.0,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:19:21+00,-6.963817,107.7094617,701.0,23,53.33333,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,17.210148544505863,30.039352931631136,0.6000000000000227,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:19:31+00,-6.963334,107.7096963,695.7,21,49.01961,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,59.62350123724922,89.66285416888036,-5.2999999999999545,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:19:26+00,-6.963601,107.709577,698.8,22,54.90196,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,32.47815797713446,122.14101214601482,3.099999999999909,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:19:41+00,-6.962494167,107.7097435,687.5,20,45.09804,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,124.43887678616092,246.57988893217572,-11.299999999999955,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:19:36+00,-6.962938,107.709765,690.0,20,46.27451,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,49.40906676870801,295.9889557008837,2.5,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:19:46+00,-6.962151167,107.7098222,683.3,17,60.0,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,87.71945351676159,383.7084092176453,-6.7000000000000455,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:19:51+00,-6.961874667,107.7098475,682.7,4,62.7451,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,30.871995034156747,414.580404251802,-0.599999999999909,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:19:56+00,-6.961672167,107.7097993,680.5,9,57.2549,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,23.136957274903803,437.7173615267058,-2.2000000000000455,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:20:06+00,-6.961409833,107.7098317,679.7,1,73.33334,26.97607,38.0,29.44162,39.0,30.16679,32.0,24.22045,34.0,29.388644379377784,467.1060059060836,-0.7999999999999545,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
